"rt","stimulus","response","screen","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","question_order","success","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number"
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","20","64685","0.0-8.0-0.4","Madonna","njn","","","","","","","500","","","","","","","",""
"223","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Madonna</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>njn</b></br></br></br></br>n</div>","b","sat_practicetrial","html-keyboard-response","21","64909","0.0-8.0-1.4","Madonna","njn","","","","","","","","square","5","Madonna","njn","false","Friend","",""
"null","<p style = 'font-size: 300%; color:red'>Incorrect!</p>","null","sat_feedback","html-keyboard-response","22","65418","0.0-8.0-2.4","Madonna","njn","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","23","65922","0.0-8.0-0.5","Madonna","njn","","","","","","","500","","","","","","","",""
"241","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; left:20%""><b>You</b></br></br></br></br>v</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>Madonna</b></br></br></br></br>b</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%""><b>njn</b></br></br></br></br>n</div>","v","sat_practicetrial","html-keyboard-response","24","66164","0.0-8.0-1.5","Madonna","njn","","","","","","","","triangle","6","You","You","true","Self","",""
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","25","66672","0.0-8.0-2.5","Madonna","njn","","","","","","","","","","","","","","",""
"1527","<h1>Congratulations!</h1><p>You have completed the training.</p>","0","sat_practice_end","html-button-response","26","68201","0.0-9.0","Madonna","njn","","","","","","","","","","","","","","",""
"1334","<h1>Instructions</h1><p>In this part of the game, the previous shapes will be re-assigned to the labels.</p><p>Your task will be then to decide if the presented shape matches their newly assigned label as quickly and accurately as possible.</p><p>If the shape-label pair is a match, press <b>'e'</b>.</p><p>If the shape-label pair is not a match, press <b>'i'</b></p><br><p>Good luck!</p>","0","matching_instructions","html-button-response","27","69537","0.0-10.0","Madonna","njn","","","","","","","","","","","","","","",""
"1983","<h1>Instructions</h1><div id ='align-middle'><b>You</b> will be represented by a <b>triangle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/triangle.png height=40></img></div><br><div id ='align-middle'><b>Madonna</b> will be represented by a <b>circle</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=40></img></div><br><div id = 'align-middle'><b>njn</b> will be represented by a <b>square</b>  <img src= https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/square.png height=40></img></div><br>","0","SAT_assignmentscreen","html-button-response","28","71522","0.0-11.0","Madonna","njn","","","","","","","","","","","","","","",""
"null","<div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div>","null","sat_fixationcross","html-keyboard-response","29","72034","0.0-12.0-0.0","Madonna","njn","","","","","","","500","","","","","","","",""
"3966","<div style='bottom:60%; right:20%; left:20%; position:fixed'><img src=https://realitybending.github.io/IllusionGameSelfAssociation/experiment/SelfAssociation/stimuli/circle.png height=20%></img></div><div  style='font-size:500%; position:fixed; text-align: center; top:50%; bottom:50%; right:20%; left:20%'>+</div><div style = ""font-size:300%; text-align: center; position:fixed; top:70%; right:20%; left:20%""><b>njn</div>","e","sat_trial","html-keyboard-response","30","76001","0.0-12.0-1.0","Madonna","njn","","","","","","","","circle","1","match","match","true","","Stranger","1"
"null","<p style = 'font-size: 300%; color:green'>Correct!</p>","null","sat_feedback","html-keyboard-response","31","76504","0.0-12.0-2.0","Madonna","njn","","","","","","","","","","","","","","",""
